NumBonPese,DesignationArticle,DateBR,CodeFournisseur,NomBateau,QteRecue,QteFacturée,Qualite,Moule,PU,MontantAchat
BP055482,SARDINE,2019-02-21,FO001,BAT024,2564.98,2346.93,A,nan,0.2019988,7427.984326
BP055482,SARDINE,2019-02-21,FO001,BAT024,1345.68,1345.68,B,nan,0.1059758,3896.985376
BP055482,DECHET ENTIER,2019-02-21,FO001,BAT024,1739.95,1739.95,nan,nan,0.1370255,5038.761074
BP055585,SARDINE,2019-02-24,FS500,BAT025,1986.48,4688.52,B,nan,0.713808,5363.495913
BP055585,MAQUEREAU,2019-02-24,FS500,BAT025,373.8,546.46,A,3S,0.1343187,897.1200543
BP055585,MAQUEREAU,2019-02-24,FS500,BAT025,0.0,67.64,A,4S,0.0,0.0
BP055585,MAQUEREAU,2019-02-24,FS500,BAT025,46.28,0.0,A,2S,16.62993,134.2120027
BP055585,SARDINE,2019-02-24,FS500,BAT025,16169.52,13344.66,A,nan,5.810244,48508.56
BP055641,SARDINE,2019-02-24,FO001,BAT024,14811.38,12976.2,A,nan,0.8945871,42892.6148
BP055641,SARDINE,2019-02-24,FO001,BAT024,314.17,314.17,B,nan,18.97544,909.8121149
BP055641,DECHET ENTIER,2019-02-24,FO001,BAT024,6977.6,6977.6,nan,nan,0.4214375,20206.59129
BP055643,SARDINE,2019-02-24,FO001,BAT007,7381.66,7183.19,A,nan,0.3775399,21376.71879
BP055643,SARDINE,2019-02-24,FO001,BAT007,1318.98,1318.98,B,nan,0.0674601,3819.664453
BP055646,SARDINE,2019-02-24,FO001,BAT024,4415.29,3980.08,A,nan,0.2385612,12786.33971
BP055646,SARDINE,2019-02-24,FO001,BAT024,314.17,314.17,B,nan,16.97482,909.8121149
BP055646,DECHET ENTIER,2019-02-24,FO001,BAT024,3506.6,3506.6,nan,nan,0.189464,10154.84351
BP055648,SARDINE,2019-02-24,FO001,BAT007,7902.31,7654.89,A,nan,0.445,22884.48135
BP055653,SARDINE,2019-02-25,FO001,BAT029,5019.6,4776.63,A,nan,0.2956184,14536.37435
BP055653,SARDINE,2019-02-25,FO001,BAT029,2536.5,2536.5,B,nan,0.1493816,7345.508096
BP055657,SARDINE,2019-02-25,FO001,BAT029,3631.2,3462.1,A,nan,0.2403177,10515.67506
BP055657,SARDINE,2019-02-25,FO001,BAT029,3092.75,3092.75,B,nan,0.2046823,8956.365508
BP055660,SARDINE,2019-02-25,FO001,BAT029,6157.02,6057.34,A,nan,0.4160149,17830.25479
BP055660,DECHET ENTIER,2019-02-25,FO001,BAT029,428.98,428.98,nan,nan,0.02898514,1242.293007
BP055650,SARDINE,2019-02-25,FO001,BAT011,19458.96,19037.1,A,nan,1.108731,56351.64676
BP055650,SARDINE,2019-02-25,FO001,BAT011,1281.6,1281.6,B,nan,0.07302287,3711.414727
BP055650,DECHET ENTIER,2019-02-25,FO001,BAT011,2689.58,2689.58,nan,nan,0.1532466,7788.815879
BP055705,SARDINE,2019-02-25,FB032,BAT019,5103.26,4691.19,A,nan,0.0,17351.08365
BP055705,DECHET ENTIER,2019-02-25,FB032,BAT019,1354.58,1352.8,nan,nan,0.0,4605.572261
BP055684,SARDINE,2019-02-25,FE060,BAT019,3471.0,3577.8,A,nan,0.0,11454.3
BP055684,DECHET ENTIER,2019-02-25,FE060,BAT019,293.7,302.6,nan,nan,0.0,469.92
